time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
1452,0.152971
1453,0.16182
1454,0.146146
1455,0.149125
1456,0.136404
1457,0.113261
1458,0.124537
1459,0.126313
1460,0.151495
1461,0.130059
1462,0.144235
1463,0.153896
1464,0.198469
1465,0.219643
1466,0.203456
1467,0.195868
1468,0.185936
1469,0.168278
1470,0.168308
1471,0.147001
1472,0.14818
1473,0.116842
1474,0.115336
1475,0.113702
1476,0.149639
1477,0.147887
1478,0.132725
1479,0.142818
1480,0.141108
1481,0.119392
1482,0.119995
1483,0.108824
1484,0.118456
1485,0.129803
1486,0.125501
1487,0.138799
1488,0.132485
1489,0.111483
1490,0.123476
1491,0.122105
1492,0.107282
1493,0.124615
1494,0.112927
1495,0.12399
1496,0.148875
1497,0.156484
1498,0.151006
1499,0.143497
1500,0.140402
1501,0.117652
1502,0.115032
1503,0.119081
1504,0.106976
1505,0.0915419
1506,0.0967939
1507,0.105509
1508,0.135049
1509,0.149496
1510,0.138489
1511,0.111014
1512,0.134617
1513,0.136809
1514,0.135612
1515,0.145546
1516,0.14877
1517,0.160623
1518,0.155235
1519,0.152751
1520,0.144711
1521,0.159953
1522,0.152842
1523,0.155945
1524,0.155348
1525,0.157769
1526,0.153433
1527,0.149157
1528,0.165971
1529,0.164217
1530,0.143665
1531,0.161058
1532,0.172094
1533,0.161406
1534,0.128471
1535,0.120535
1536,0.115399
1537,0.144685
1538,0.115412
1539,0.110544
1540,0.101557
1541,0.0835428
1542,0.0899014
1543,0.0877719
1544,0.0810829
1545,0.100191
1546,0.0833585
1547,0.0788182
1548,0.0856302
1549,0.10342
1550,0.105793
1551,0.0877148
1552,0.0692381
1553,0.0925986
1554,0.0852123
1555,0.0919039
1556,0.0867203
1557,0.110011
1558,0.0959327
1559,0.103552
1560,0.0799718
1561,0.0793352
1562,0.102353
1563,0.097006
1564,0.0864027
1565,0.098823
1566,0.115015
1567,0.106303
1568,0.117389
1569,0.113319
1570,0.13289
1571,0.147324
1572,0.159349
1573,0.176307
1574,0.148141
1575,0.143485
1576,0.125195
1577,0.135503
1578,0.153015
1579,0.140167
1580,0.134005
1581,0.141867
1582,0.141683
1583,0.133217
1584,0.129813
1585,0.112571
1586,0.133779
1587,0.143197
1588,0.144554
1589,0.134009
1590,0.149316
1591,0.145338
1592,0.153868
1593,0.138152
1594,0.149564
1595,0.160808
1596,0.155577
1597,0.14383
1598,0.142352
1599,0.150787
1600,0.137696
1601,0.133712
1602,0.125142
1603,0.112423
1604,0.112215
1605,0.134155
1606,0.130657
1607,0.136045
1608,0.110549
1609,0.114219
1610,0.117517
1611,0.153644
1612,0.128763
1613,0.123122
1614,0.119256
1615,0.0924086
1616,0.0828868
1617,0.0815865
1618,0.0849827
1619,0.0887406
1620,0.0711487
1621,0.0899061
1622,0.0740301
1623,0.0501308
1624,0.0631389
1625,0.070611
1626,0.0618193
1627,0.0774058
1628,0.0761649
1629,0.0715222
1630,0.121687
1631,0.102385
1632,0.10477
1633,0.0989363
1634,0.0888178
1635,0.0880268
1636,0.111418
1637,0.0814729
1638,0.0934874
1639,0.090906
1640,0.10749
1641,0.0942364
1642,0.0880274
1643,0.0892155
1644,0.128955
1645,0.143622
1646,0.139722
1647,0.117684
1648,0.140932
1649,0.122316
1650,0.101339
1651,0.139096
1652,0.132909
1653,0.11127
1654,0.0931796
1655,0.118194
1656,0.113795
1657,0.0993873
1658,0.0958118
1659,0.088481
1660,0.082199
1661,0.103805
1662,0.10533
1663,0.0675073
1664,0.0728731
1665,0.100668
1666,0.133648
1667,0.135287
1668,0.133102
1669,0.115685
1670,0.108315
1671,0.107712
1672,0.0948321
1673,0.0912793
1674,0.0998151
1675,0.16049
1676,0.151958
1677,0.132134
1678,0.147866
1679,0.148672
1680,0.143743
1681,0.163347
1682,0.147307
1683,0.122071
1684,0.125466
1685,0.121495
1686,0.117338
1687,0.110981
1688,0.117455
1689,0.110283
1690,0.106737
1691,0.0854299
1692,0.0897652
1693,0.0865472
1694,0.0755807
1695,0.0677796
1696,0.0820678
1697,0.110249
1698,0.100125
1699,0.0905051
1700,0.0986755
1701,0.110867
1702,0.129434
1703,0.124752
1704,0.128006
1705,0.122497
1706,0.132148
1707,0.129665
1708,0.142245
1709,0.152527
1710,0.145475
1711,0.133846
1712,0.126949
1713,0.126558
1714,0.131214
1715,0.125418
1716,0.114735
1717,0.118834
1718,0.0893757
1719,0.0899838
1720,0.0852316
1721,0.0897972
1722,0.0995604
1723,0.109133
1724,0.106414
1725,0.107442
1726,0.103609
1727,0.10161
1728,0.110226
1729,0.122085
1730,0.0838648
1731,0.0737182
1732,0.0907511
1733,0.109901
1734,0.107821
1735,0.0900519
1736,0.0596868
1737,0.0975409
1738,0.111708
1739,0.104545
1740,0.0981157
1741,0.0962989
1742,0.0881341
1743,0.0834991
1744,0.0711401
1745,0.0669358
1746,0.0895844
1747,0.0881429
1748,0.103393
1749,0.108527
1750,0.115821
1751,0.114496
1752,0.102552
1753,0.11093
1754,0.0925922
1755,0.0894506
1756,0.0728155
1757,0.0750864
1758,0.0634769
1759,0.0603864
1760,0.0755899
1761,0.0791521
1762,0.0845824
1763,0.0759483
1764,0.085472
1765,0.0927585
1766,0.091977
1767,0.122361
1768,0.108735
1769,0.109386
1770,0.102336
1771,0.120082
1772,0.118802
1773,0.12413
1774,0.118248
1775,0.105702
1776,0.10673
1777,0.107854
1778,0.131217
1779,0.126054
1780,0.115762
1781,0.102488
1782,0.0837494
1783,0.0959369
