time,BaseNetwork.server.aggregator(timetoserial(responseTimeStats:vector))
56463,0.150205
56464,0.14672
56465,0.133664
56466,0.117085
56467,0.0971792
56468,0.100063
56469,0.10502
56470,0.10886
56471,0.136272
56472,0.140908
56473,0.158251
56474,0.161522
56475,0.169316
56476,0.155115
56477,0.158948
56478,0.141322
56479,0.154412
56480,0.156779
56481,0.143703
56482,0.141763
56483,0.185267
56484,0.174361
56485,0.163875
56486,0.179324
56487,0.167768
56488,0.147871
56489,0.16251
56490,0.208052
56491,0.210626
56492,0.215701
56493,0.208727
56494,0.190261
56495,0.190176
56496,0.180262
56497,0.193123
56498,0.190021
56499,0.177281
56500,0.167018
56501,0.143428
56502,0.161813
56503,0.171682
56504,0.170002
56505,0.174078
56506,0.154398
56507,0.196077
56508,0.188146
56509,0.163526
56510,0.173969
56511,0.169785
56512,0.161951
56513,0.175474
56514,0.164336
56515,0.14499
56516,0.130513
56517,0.132139
56518,0.158722
56519,0.159112
56520,0.144075
56521,0.128535
56522,0.137597
56523,0.138192
56524,0.128268
56525,0.14205
56526,0.154876
56527,0.148476
56528,0.189461
56529,0.175378
56530,0.16964
56531,0.164255
56532,0.163531
56533,0.150357
56534,0.161234
56535,0.141312
56536,0.131972
56537,0.139583
56538,0.126106
56539,0.168975
56540,0.149825
56541,0.139229
56542,0.14346
56543,0.135571
56544,0.126902
56545,0.146076
56546,0.157331
56547,0.160664
56548,0.144449
56549,0.15
56550,0.151169
56551,0.141074
56552,0.150115
56553,0.151275
56554,0.148443
56555,0.153722
56556,0.151223
56557,0.139429
56558,0.141203
56559,0.134065
56560,0.129999
56561,0.123446
56562,0.142216
56563,0.127043
56564,0.125599
56565,0.13346
56566,0.132045
56567,0.116035
56568,0.112876
56569,0.116905
56570,0.110479
56571,0.0949122
56572,0.105738
56573,0.0986727
56574,0.101766
56575,0.0879429
56576,0.0962391
56577,0.104858
56578,0.108815
56579,0.0893709
56580,0.0754315
56581,0.07166
56582,0.0863541
56583,0.0845966
56584,0.061058
56585,0.0610587
56586,0.113316
56587,0.119634
56588,0.112866
56589,0.112003
56590,0.125468
56591,0.114512
56592,0.0982292
56593,0.121262
56594,0.109458
56595,0.10044
56596,0.108341
56597,0.10875
56598,0.0975873
56599,0.133955
56600,0.139525
56601,0.0847659
56602,0.102604
56603,0.0817997
56604,0.0920861
56605,0.0809979
56606,0.0836679
56607,0.0894595
56608,0.0896282
56609,0.093382
56610,0.0929951
56611,0.0977602
56612,0.0952534
56613,0.0901891
56614,0.0787038
56615,0.0764396
56616,0.106991
56617,0.101956
56618,0.0774825
56619,0.0716912
56620,0.0603637
56621,0.0691491
56622,0.0792842
56623,0.0630287
56624,0.0802717
56625,0.0745847
56626,0.081724
56627,0.105258
56628,0.0798443
56629,0.0750133
56630,0.104979
56631,0.110127
56632,0.102092
56633,0.0963232
56634,0.0755421
56635,0.0716377
56636,0.103035
56637,0.11116
56638,0.106749
56639,0.104253
56640,0.0914759
56641,0.120448
56642,0.111546
56643,0.112092
56644,0.0978133
56645,0.106659
56646,0.0975017
56647,0.0921629
56648,0.119326
56649,0.113979
56650,0.103142
56651,0.115507
56652,0.119627
56653,0.12704
56654,0.144718
56655,0.154375
56656,0.142272
56657,0.149838
56658,0.13656
56659,0.141831
56660,0.152596
56661,0.145667
56662,0.123973
56663,0.0967234
56664,0.0792115
56665,0.1038
56666,0.103437
56667,0.0858763
56668,0.0898073
56669,0.101216
56670,0.08815
56671,0.0909539
56672,0.0952079
56673,0.0921023
56674,0.114327
56675,0.103411
56676,0.100428
56677,0.090822
56678,0.0738387
56679,0.0674653
56680,0.0561434
56681,0.0639285
56682,0.0671554
56683,0.0515218
56684,0.0549351
56685,0.0628323
56686,0.0669665
56687,0.0704918
56688,0.0692539
56689,0.0765457
56690,0.0782157
56691,0.0988989
56692,0.085989
56693,0.0921432
56694,0.0872164
56695,0.0792021
56696,0.0997167
56697,0.130124
56698,0.117551
56699,0.109697
56700,0.0920158
56701,0.0783843
56702,0.0742944
56703,0.0708535
56704,0.0730512
56705,0.0653823
56706,0.0627815
56707,0.0641527
56708,0.0566256
56709,0.0860233
56710,0.0949816
56711,0.0907694
56712,0.0815421
56713,0.0659842
56714,0.0590587
56715,0.0788212
56716,0.0788609
56717,0.0750684
56718,0.0858947
56719,0.0670683
56720,0.0714256
56721,0.0692338
56722,0.0937229
56723,0.110359
56724,0.117363
56725,0.111051
56726,0.0938621
56727,0.0997562
56728,0.0911356
56729,0.0950238
56730,0.111126
56731,0.0981908
56732,0.0949
56733,0.115027
56734,0.118695
56735,0.111123
56736,0.113563
56737,0.095803
56738,0.097917
56739,0.0944973
56740,0.099618
56741,0.0939537
56742,0.0859854
56743,0.101985
56744,0.0831434
56745,0.0658741
56746,0.0581775
56747,0.0571216
56748,0.0565921
56749,0.044144
56750,0.0524028
56751,0.0775905
56752,0.0724764
56753,0.0606607
56754,0.0674985
56755,0.0827921
56756,0.0948598
56757,0.0842774
56758,0.0664273
56759,0.0781922
56760,0.0922118
56761,0.101308
56762,0.0972881
56763,0.0987578
56764,0.0859698
56765,0.118349
56766,0.10682
56767,0.104128
56768,0.0998008
56769,0.119961
56770,0.114694
56771,0.110448
56772,0.10167
56773,0.100071
56774,0.0944914
56775,0.0840049
56776,0.115434
56777,0.110179
56778,0.106493
56779,0.0854216
56780,0.0798436
56781,0.0871156
56782,0.0936062
56783,0.0902863
56784,0.0757005
56785,0.0786975
56786,0.0735844
56787,0.0785145
56788,0.0987093
56789,0.0943983
56790,0.0859217
56791,0.12074
56792,0.120611
56793,0.113679
56794,0.104209
56795,0.093513
56796,0.0899158
56797,0.0769638
56798,0.0819985
56799,0.0773324
56800,0.0805086
56801,0.0822512
56802,0.0895749
56803,0.092169
56804,0.0944154
56805,0.0861073
56806,0.0732631
56807,0.0607758
56808,0.0776535
56809,0.0978725
56810,0.133017
56811,0.131992
56812,0.125218
56813,0.11801
56814,0.0963617
56815,0.101996
56816,0.120685
56817,0.140051
56818,0.132134
56819,0.116304
56820,0.111922
56821,0.118624
56822,0.118647
56823,0.128287
56824,0.145281
56825,0.129017
56826,0.132105
56827,0.120316
56828,0.106459
56829,0.0953249
56830,0.121594
56831,0.126471
56832,0.156698
56833,0.159741
56834,0.176593
56835,0.159672
56836,0.14273
56837,0.136567
56838,0.139795
56839,0.136293
56840,0.124488
56841,0.128589
56842,0.139631
56843,0.140207
56844,0.131456
56845,0.122756
56846,0.133361
56847,0.13309
56848,0.118503
56849,0.120162
56850,0.119045
56851,0.13542
56852,0.135609
56853,0.14358
56854,0.143911
56855,0.129677
56856,0.119262
56857,0.113996
56858,0.137412
56859,0.152646
56860,0.140509
56861,0.142101
56862,0.148
56863,0.157527
56864,0.181361
56865,0.163074
56866,0.157585
56867,0.127504
56868,0.128687
56869,0.140677
56870,0.131809
56871,0.131662
56872,0.154131
56873,0.13196
56874,0.125916
56875,0.109438
56876,0.0889064
56877,0.0864399
56878,0.0796354
56879,0.0910618
56880,0.0734999
56881,0.0785992
56882,0.0866517
56883,0.0853961
56884,0.105607
